"","MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","ActivityStartDate","OrganizationIdentifier","11Cl-PF3OUdS","3:3 FTCA","4:2 FTS","6:2 FTS","8:2 FTS","9Cl-PF3ONS","ADONA","HFPO-DA","MeFOSAA","NFDHA","PFDA","PFDoA","PFEESA","PFHpA","PFHpS","PFHxS","PFMBA","PFMPA","PFNA","PFNS","PFOA","PFOSA","PFPeA","PFTrDA","PFUnA","5:3 FTCA","7:3 FTCA","N-EtFOSA","N-MeFOSA","PFHxA","N-EtFOSE","PFBA","PFBS","PFOS"
"96","21NYDECA_WQX-18683","42.36520012","-73.45195826","2022-08-29","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0.245,0.143,0.486,0,0,0,0,0,0,NA,NA,NA,NA,NA
"97","21NYDECA_WQX-18825","40.88023798","-72.5590759","2023-06-14","21NYDECA_WQX",0,0,0,0,0,0,0,0.86,0,0,0,0,0,2.5,0,0,0,0,1,0,2.3,0,1.2,0.47,0,0,0,0,0,1.4,NA,NA,NA,NA
"98","21NYDECA_WQX-1887","43.98472","-75.925","2021-04-12","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"99","21NYDECA_WQX-1887","43.98472","-75.925","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"100","21NYDECA_WQX-1888","43.51167","-75.30666","2021-04-12","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"101","21NYDECA_WQX-1888","43.51167","-75.30666","2021-08-16","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"102","21NYDECA_WQX-19015","42.74742722","-74.1170123","2022-08-31","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0.367,0,0,0.473,0,1.72,0.396,2.21,0,0,0,0,0,0,1.33,NA,NA,NA,NA
"103","21NYDECA_WQX-1912","43.82389","-75.65334","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,NA,0,0,0.678,0,1.81,0.208,1.17,0,0,0,0,0,0,1.02,NA,NA,NA,NA
"104","21NYDECA_WQX-1918","43.506198","-75.221461","2022-09-15","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0,0.299,0,0,0.18,0,0.403,0.176,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"105","21NYDECA_WQX-1920","43.93028","-75.59111","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0,NA,0,0,0.419,0,0.987,0.294,0.587,0,0,0,0,0,0,0.525,NA,NA,NA,NA
"106","21NYDECA_WQX-1922","43.723389","-75.70138","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.167,0,0,0.89,0,NA,0,0,0.518,0,0.92,0.207,0.631,0,0,0,0,0,0,0.545,NA,NA,NA,NA
"107","21NYDECA_WQX-1941","43.98944","-75.92416","2022-09-13","21NYDECA_WQX",0,0,0,2.21,0.589,0,0,0,0,0,0,0,0,0.7,0,NA,0,0,0.238,0,1.3,0.404,1.32,0,0,0,0,0,0,1.14,NA,NA,NA,NA
"108","21NYDECA_WQX-1951","43.712444","-74.813651","2022-09-14","21NYDECA_WQX",0,0,0,2.18,0.504,0,0,0,0,0,0,0,0,0.425,0,0.295,0,0,0.213,0,0.446,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"109","21NYDECA_WQX-1958","43.45528","-75.15278","2022-09-15","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.469,0,0.27,0,0,0.267,0,0.483,0.259,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"110","21NYDECA_WQX-19676","41.22497387","-74.12168288","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,0,NA,0,0,0.384,0,1.83,0.156,0.46,0,0,0,0,0,0,0.556,NA,NA,NA,NA
"111","21NYDECA_WQX-19686","41.18426127","-73.9951748","2022-09-14","21NYDECA_WQX",0,0,0,0,0,0,0,0,0.179,0,0.259,0,0,2.11,0.16,1.16,0,0,0.817,0,6.57,0.149,2.98,0,0,0,0,0,0,NA,NA,NA,NA,NA
"112","21NYDECA_WQX-1974","43.7903","-75.546073","2022-09-14","21NYDECA_WQX",0,0,0,3.35,0.7,0,0,0,0,0,0,0,0,0.32,0,0.282,0,0,0,0,0.387,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"113","21NYDECA_WQX-1975","43.52194","-75.34527","2022-09-15","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,0,0.364,0,0,0.26,0,1.41,0.186,1.13,0,0,0,0,0,0,NA,NA,NA,NA,NA
"114","21NYDECA_WQX-1989","43.910741","-75.366559","2022-09-13","21NYDECA_WQX",0,0,0,3.51,0,0,0,0,0,0,0.251,0,0,1.76,0,2.11,0,0,1.09,0,2.79,0.608,2.66,0,0,0,0,0,0,2.38,NA,NA,NA,NA
"115","21NYDECA_WQX-1990","43.80832","-74.851371","2022-09-14","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.456,0,0.162,0,0,0.278,0,0.423,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"116","21NYDECA_WQX-20002","40.82375","-73.12","2023-06-14","21NYDECA_WQX",0,0,0,0,0,0,0,0.54,0,0,0,0,0,4.4,0,3,0,0,1,0,11,0,6.2,0.63,0,0,0,0,0,6.6,NA,NA,NA,NA
"117","21NYDECA_WQX-20125","41.23850038","-74.20866553","2022-09-14","21NYDECA_WQX",0,0,0,0.925,0,0,0,0,0,0,0,0,0,8.79,0,1.47,0,0,0.383,0,1.69,0.265,1.07,0,0,0,0,0,0,NA,NA,NA,NA,NA
"118","21NYDECA_WQX-20678","41.32163033","-73.7232969","2022-09-12","21NYDECA_WQX",0,0,0,2.75,0,0,0,0,0,0,0.289,0,0,2.22,0.111,1.53,0,0,0.872,0,5.57,NA,2.95,0,0,0,0,0,0,3.35,NA,NA,NA,NA
"119","21NYDECA_WQX-20714","41.6108603","-73.66290619","2022-08-01","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.794,0,0.486,0,0,0.208,0,1.77,0.227,2.35,0,0,0,0,0,0,2.66,NA,NA,NA,NA
"120","21NYDECA_WQX-21177","41.40312012","-74.35135967","2022-09-12","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.286,0,0,3.77,0,0.681,0,0,1.09,0,6.5,NA,4.99,0,0.184,0,0,0,0,4.65,NA,NA,NA,NA
"121","21NYDECA_WQX-21363","42.199458","-74.037409","2022-08-03","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.692,0,0.171,0,0,0.315,0,0.858,0.87,0.67,0,0,0,0,0,0,0.46,NA,NA,NA,NA
"122","21NYDECA_WQX-21448","41.86617655","-73.64352587","2022-08-02","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.263,0,0,0.614,0,0.281,0,0,0.367,0,1.48,1.84,0.846,0,0.21,0,0,0,0,0.747,NA,NA,NA,NA
"123","21NYDECA_WQX-21995","41.45687218","-74.20970316","2022-09-12","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.279,0,0,1.91,0.114,1.28,0,0,0.803,0,4.07,NA,5.7,0,0,0,0,0,0,4.42,NA,NA,NA,NA
"124","21NYDECA_WQX-2202","44.939851","-74.556944","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"125","21NYDECA_WQX-2202","44.939851","-74.556944","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"126","21NYDECA_WQX-22402","42.53534436","-73.57948004","2022-08-30","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0.257,0,0,0.581,0,1.85,0.657,0.781,0,0,0,0,0,0,1.2,NA,NA,NA,NA
"127","21NYDECA_WQX-22466","41.84765","-74.03964","2022-08-24","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.264,0,0,1.71,0,0.956,0,0,0.628,0,3.9,0,6.71,0,0,0,0,0,0,5.23,NA,NA,NA,NA
"128","21NYDECA_WQX-22815","42.0620013","-73.79437954","2022-08-03","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.702,0,0.205,0,0,0.319,0,1.06,0.448,0.943,0,0,0,0,0,0,0.911,NA,NA,NA,NA
"129","21NYDECA_WQX-22989","40.7092669","-73.54991245","2023-09-12","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.83,0,0,3.5,0,0.87,0,0,1,0,7.4,0,3.2,0,0,0,0,0,0,4,NA,NA,NA,NA
"130","21NYDECA_WQX-2312","44.846933","-75.078952","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"131","21NYDECA_WQX-2323","44.58917","-75.32139","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"132","21NYDECA_WQX-23567","41.1728","-73.69329","2023-09-05","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.72,0,0,0,0,3.5,0,3.1,0,0,0,0,0,0,0,NA,NA,NA,NA
"133","21NYDECA_WQX-23578","41.07602727","-73.75509569","2023-06-13","21NYDECA_WQX",0,0,0,0,0,0,0,0.45,0,0,0,0,0,1.7,0,1.1,0,0,0,0,6.2,0,1.7,0,0,0,0,0,0,2.1,NA,NA,NA,NA
"134","21NYDECA_WQX-23595","40.961554","-73.851563","2023-06-13","21NYDECA_WQX",0,0,0,0,0,0,0,0.51,0,0,0,0,0,3.7,0,3.1,0,0,1.4,0,12,0,6.6,0,0,0,0,0,0,5.9,NA,NA,NA,NA
"135","21NYDECA_WQX-23598","41.067122","-72.454276","2023-06-14","21NYDECA_WQX",0,0,0,0,0,0,0,1.1,0,0,0.64,0,0,2.6,0,0,0,0,1.3,0,2.8,0,1.9,0.57,0,0,0,0,0,2,NA,NA,NA,NA
"136","21NYDECA_WQX-23603","41.16671604","-73.60453916","2023-09-06","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.64,0,0,0,0,5.6,0,1.8,0,0,0,0,0,0,2.5,NA,NA,NA,NA
"137","21NYDECA_WQX-2384","43.937194","-75.50738","2022-09-13","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.171,0,0,1.56,0,NA,0,0,0.78,0,2.02,0.301,1.72,0,0,0,0,0,0,1.16,NA,NA,NA,NA
"138","21NYDECA_WQX-2387","43.67705","-75.34291","2022-09-14","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0,0,0,0.165,0.149,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"139","21NYDECA_WQX-2390","43.4507","-75.014745","2022-09-15","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0.197,0,0,0.284,0,0.479,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
"140","21NYDECA_WQX-23905","42.5439980288","-74.66345137","2023-08-22","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"141","21NYDECA_WQX-23906","42.663935387","-74.9722142768","2023-08-22","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"142","21NYDECA_WQX-23907","42.2006889701","-75.5312840088","2023-08-24","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"143","21NYDECA_WQX-23908","42.720039182","-75.5749001407","2023-08-24","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"144","21NYDECA_WQX-23910","42.6849300199","-75.3195322926","2023-08-24","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"145","21NYDECA_WQX-23915","42.5665627118","-75.8830556173","2023-08-23","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"146","21NYDECA_WQX-23919","42.7926272141","-75.5096637981","2023-08-24","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"147","21NYDECA_WQX-23920","42.0867420457","-76.3112886944","2023-08-23","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"148","21NYDECA_WQX-23921","42.6784127691","-76.1331368921","2023-08-23","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"149","21NYDECA_WQX-23922","42.0225577527","-75.7313670891","2023-08-23","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"150","21NYDECA_WQX-23924","42.8263083214","-75.1354801468","2023-08-22","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"151","21NYDECA_WQX-23926","44.2525537786","-73.4058367767","2023-07-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,NA,NA,NA,NA
"152","21NYDECA_WQX-23929","44.6206477969","-73.9043557274","2023-07-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"153","21NYDECA_WQX-23931","44.2993606825","-73.59523152","2023-07-25","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"154","21NYDECA_WQX-23932","44.38048969","-74.1918978269","2023-07-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"155","21NYDECA_WQX-23933","44.9492943673","-73.6720832059","2023-07-25","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,3.1,0,1.1,0,0,0,0,0,0,1.2,NA,NA,NA,NA
"156","21NYDECA_WQX-23934","44.8654337469","-73.7851535329","2023-07-25","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.5,0,0,0,0,2.1,0,1.6,0,0,0,0,0,0,1.7,NA,NA,NA,NA
"157","21NYDECA_WQX-23937","43.3653483224","-73.291258189","2023-07-27","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"158","21NYDECA_WQX-23940","44.844814272","-73.4706739708","2023-07-25","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,2.8,0,0,0,0,11,0,2.5,0,0,0,0,0,0,2.9,NA,NA,NA,NA
"159","21NYDECA_WQX-23949","44.304152573","-73.9214766555","2023-07-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.79,0,0,0,0,0,0,0.69,NA,NA,NA,NA
"160","21NYDECA_WQX-23952","43.8108480573","-73.4925048534","2023-07-27","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"161","21NYDECA_WQX-23998","41.0515639766","-73.7069770125","2023-09-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,1,0,0,0.97,0,8.8,0,3.8,0,0,0,0,0,0,3.7,NA,NA,NA,NA
"162","21NYDECA_WQX-24002","41.1299565026","-73.7369423909","2023-09-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,4.6,0,0,0,0,11,0,2.8,0,0,0,0,0,0,3.8,NA,NA,NA,NA
"163","21NYDECA_WQX-24004","41.2122533381","-73.5672581909","2023-09-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.1,0,0,0,0,5.6,0,3.3,0,0,0,0,0,0,3.1,NA,NA,NA,NA
"164","21NYDECA_WQX-24005","41.242230081","-73.528847368","2023-09-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,4.3,0,2.6,0,0,0,0,0,0,2.2,NA,NA,NA,NA
"165","21NYDECA_WQX-24051","40.814226","-73.744182","2023-09-27","21NYDECA_WQX",0,0,0,0,0,0,0,0.52,0,0,0,0,0,4.2,0,2.6,0,0,2.5,0,16,0,6.3,0,0,0,0,0,0,4.5,NA,NA,NA,NA
"166","21NYDECA_WQX-2546","44.464375","-73.575255","2021-04-14","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"167","21NYDECA_WQX-2546","44.464375","-73.575255","2021-08-18","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"168","21NYDECA_WQX-2559","44.377233","-73.71493","2023-07-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"169","21NYDECA_WQX-2676","44.36389","-73.390881","2021-04-14","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"170","21NYDECA_WQX-2676","44.36389","-73.390881","2021-08-18","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"171","21NYDECA_WQX-2679","44.22003","-73.58552","2023-07-26","21NYDECA_WQX",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,NA,NA,NA,NA
"172","21NYDECA_WQX-2732","44.40855","-74.08426","2023-07-26","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,2.3,0,0,0,0,2.6,0,2.3,0,0,0,0,0,0,1.8,NA,NA,NA,NA
"173","21NYDECA_WQX-2923","42.95139","-73.39111","2019-10-24","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,13,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"174","21NYDECA_WQX-2923","42.95139","-73.39111","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,8.6,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"175","21NYDECA_WQX-2923","42.95139","-73.39111","2021-08-18","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,22,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"176","21NYDECA_WQX-2957","44.697538","-73.45085","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"177","21NYDECA_WQX-2957","44.697538","-73.45085","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"178","21NYDECA_WQX-3191","42.809122","-73.658308","2021-04-26","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"179","21NYDECA_WQX-3191","42.809122","-73.658308","2021-08-25","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,3.6,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"180","21NYDECA_WQX-3192","43.29655","-73.59049","2021-04-13","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"181","21NYDECA_WQX-3192","43.29655","-73.59049","2021-08-17","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"182","21NYDECA_WQX-3194","42.82274","-73.66137","2021-04-26","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,1.9,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"183","21NYDECA_WQX-3194","42.82274","-73.66137","2021-08-25","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,3,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"184","21NYDECA_WQX-3301","42.77833","-73.69667","2021-04-15","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,1.7,NA,NA,NA,NA
"185","21NYDECA_WQX-3301","42.77833","-73.69667","2021-08-18","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,2.8,0,0,NA,NA,NA,NA,3,NA,NA,NA,NA
"186","21NYDECA_WQX-3387","42.820624","-73.858617","2021-04-22","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"187","21NYDECA_WQX-3387","42.820624","-73.858617","2021-08-25","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"188","21NYDECA_WQX-3388","42.838248","-73.877313","2021-04-22","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"189","21NYDECA_WQX-3388","42.838248","-73.877313","2021-08-25","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"190","21NYDECA_WQX-3399","43.03778","-74.84055","2021-04-12","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"191","21NYDECA_WQX-3399","43.03778","-74.84055","2021-08-16","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"192","21NYDECA_WQX-3489","42.8","-74.26334","2019-10-21","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"193","21NYDECA_WQX-3489","42.8","-74.26334","2021-04-15","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"194","21NYDECA_WQX-3489","42.8","-74.26334","2021-08-19","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"195","21NYDECA_WQX-3541","41.30103","-73.98634","2022-07-20","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,0.182,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"196","21NYDECA_WQX-3616","41.662908","-73.736386","2022-07-20","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0.368,0,0,0,0,0.668,0.194,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"197","21NYDECA_WQX-3620","42.180528","-73.940247","2022-07-21","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.801,0,0.553,0,0,0.3,0,1.31,0.202,1.07,0,0,0,0,0,0,1.08,NA,NA,NA,NA
"198","21NYDECA_WQX-3621","42.31972","-73.74611","2022-07-21","21NYDECA_WQX",0,0,0,0,0,0,0,0,0,0,0.169,0,0,0.641,0,0.516,0,0,0.497,0,1.49,0.26,0.93,0,0,0,0,0,0,1.02,NA,NA,NA,NA
"199","21NYDECA_WQX-3664","42.619495","-73.758796","2019-10-22","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,2.4,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"200","21NYDECA_WQX-3664","42.619495","-73.758796","2021-04-12","21NYDECA_WQX",NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
